Time,Angle_1,Voltage_1,Angle_2,Voltage_2,Angle_3,Voltage_3,Angle_4,Voltage_4,Angle_5,Voltage_5,Angle_6,Voltage_6,Angle_7,Voltage_7,Angle_8,Voltage_8,Angle_9,Voltage_9
64.0,0.0,1.0,24.468971115706744,1.0,19.16835700491413,0.9999999999999998,4.1360990166093465,0.9908592740155481,7.225831862245444,0.9963928625961488,16.355741230255223,1.0150868574734848,16.873232324728026,1.0123806291290123,18.68102738468286,1.0101941548725633,7.64007053311727,0.9809964100102805
174.0,0.0,1.0,24.40406310732427,0.9999999999999999,19.042402511108403,0.9999999999999999,4.155882860434254,0.9881024102203807,7.204645758904652,0.9884875240718162,16.221164280825068,1.0119869778415722,16.67276441309507,1.006752931392886,18.601926935455356,1.0077315690227469,7.802716784497635,0.9790423570880084
54.0,0.0,1.0,25.24598044182559,1.0,20.022397960594112,1.0,4.528903502953746,0.9885968632572164,8.071084258542486,0.9896966255638201,17.20545973565022,1.0135305099679632,17.719467014969226,1.0111756567127774,19.45661258887796,1.0099465039928313,8.254558883907075,0.9825185340919204
94.0,0.0,1.0,23.865960802115183,1.0,18.665938212419828,0.9999999999999998,3.8481855148688666,0.9910896743401819,6.855229994024343,0.9938316539130932,15.852704957017075,1.014864233568447,16.29067942661428,1.013061091402928,18.080694276742875,1.0106600441741538,7.010039136732705,0.9822193666243956
141.0,0.0,1.0,25.131251900489268,1.0,19.79426394131583,0.9999999999999998,4.423030745033841,0.9917810399073496,7.684111535763766,0.9970542641044357,16.979396971687326,1.0142756923801293,17.596897455118746,1.009444692317708,19.34101574519229,1.0097955684895554,8.168450084000556,0.9855248639378793
15.0,0.0,1.0,24.181979911379123,0.9999999999999999,19.076746424810022,1.0,4.099630222105581,0.9932207568756997,7.417000317314307,0.9981301070013556,16.26229018557639,1.0144235925864733,16.62279912418076,1.0090359755771798,18.392724045598907,1.0099659738313589,7.291336190194252,0.9873466806076864
96.0,0.0,1.0,24.952331175578824,0.9999999999999998,19.72979171653743,0.9999999999999998,4.347750102587192,0.9896240284112451,7.760193044925036,0.9943330277150956,16.915306161449227,1.0144130347879403,17.4462559857708,1.0113856675970927,19.161262082779075,1.009650823004076,7.8928706077751825,0.980409433230166
144.0,0.0,1.0,24.05759949253614,1.0,18.932060146210624,1.0,3.9535967923717092,0.9906246746909902,7.160887717084145,0.992294867845489,16.118496885574647,1.0147452949554439,16.53145675175421,1.0135418844321828,18.27393759468258,1.0109394897220618,7.098899337394612,0.9829144635243021
107.0,0.0,1.0,24.470222931857045,1.0,19.114546430807415,0.9999999999999998,4.204627763329624,0.9928116685083564,7.194717568439527,0.9986106661175354,16.304075474357443,1.0158609015267106,16.810576648687963,1.0136149938979107,18.690110946146724,1.0115582584345533,7.85786127688207,0.9858868845957081
52.0,0.0,1.0,23.967877076072803,1.0,18.663971913819925,1.0,3.9663767590290737,0.9920025935341783,6.8796031023411155,0.9978840104303514,15.851703286490194,1.0152120594562202,16.28115938240211,1.0118313905303158,18.180220816326784,1.0102441601450705,7.359443546323157,0.9822350542017346
1.0,0.0,1.0,24.649767472328772,1.0,19.400399843744733,1.0,4.378526782815695,0.9913312404834795,7.692523461985841,0.997270370923449,16.58691232917389,1.0147725924541648,16.972619793190034,1.0107052222633086,18.860881263180516,1.010030246863183,8.018006486467721,0.983570546088393
21.0,0.0,1.0,23.834095601061662,0.9999999999999999,18.636003583386948,0.9999999999999998,3.8170721147754607,0.9910807041053611,6.8079874781062095,0.9931950729954827,15.822024032977719,1.0145952979655504,16.269441083579878,1.01255959576885,18.048010286688196,1.0105175120651602,6.95039019363613,0.982563310615302
68.0,0.0,1.0,25.30766019229121,0.9999999999999999,19.88721606854273,0.9999999999999999,4.432744969432355,0.9874172512108184,7.654319369185112,0.9889468263329687,17.068227036018683,1.012793763425605,17.743249537303345,1.0093784747625687,19.510168575943144,1.0085361344828592,8.338600389258103,0.9783010464693574
175.0,0.0,1.0,24.787412887414618,1.0,19.568888747269725,0.9999999999999999,4.199263548190025,0.9884457403256504,7.550317502321734,0.9909912211264347,16.75067146235445,1.0130708855847208,17.30705430504041,1.0089590111572233,18.988855848081283,1.0083514596422924,7.616303276671366,0.9784757434373519
80.0,0.0,1.0,24.359728115357964,0.9999999999999999,19.140111498660566,0.9999999999999997,4.033280527904531,0.9909868377839284,7.173741381145407,0.9944209026915034,16.327186178090823,1.014975242873176,16.854702587319736,1.0131749486023904,18.574877745412227,1.0107325026400866,7.343481283888591,0.9826204804826113
127.0,0.0,1.0,23.972952266573728,1.0,18.904054445380936,0.9999999999999997,4.039320210661512,0.9927817838960021,7.329915897418255,0.9964562789143353,16.093358902384182,1.015779795028632,16.39858252168365,1.014408307242305,18.19544221561781,1.0120122733507262,7.181248417575515,0.9869921741155453
88.0,0.0,1.0,25.2389420391534,1.0,19.942830184448063,0.9999999999999999,4.519450742257424,0.9911970004022718,7.89332010458141,0.9957805743654987,17.130622219195743,1.0152339409847724,17.7075090130292,1.0132851316587699,19.45726714038221,1.0112857405267102,8.316410822139938,0.9854745497154526
10.0,0.0,1.0,24.167058715375838,0.9999999999999999,18.873825318088596,0.9999999999999998,4.03637363609404,0.9895318529885095,7.058707378983188,0.9913913465419261,16.058003576131345,1.0139320545100894,16.496590547349346,1.0114267584063157,18.376619037053487,1.0097601969920822,7.4964006627704025,0.9804021643771061
