time,ANG_1,VOL_1,ANG_2,VOL_2,ANG_3,VOL_3,ANG_4,VOL_4,ANG_5,VOL_5,ANG_6,VOL_6,ANG_7,VOL_7,ANG_8,VOL_8,ANG_9,VOL_9
122.0,0.0,1.0,-21.234761856647637,0.9999999999999998,-25.650748058437067,1.0,-15.451415250157352,0.8935596216674565,-28.140322613737737,0.853067982447191,-28.6394349989884,0.9553350523459541,-33.42412682343994,0.9057645575872234,-27.4730883527749,0.9375200518487891,-30.237854437768455,0.8021914969333384
118.0,0.0,1.0,-22.481065079867957,0.9999999999999999,-27.17286785585951,1.0,-15.708875835241903,0.8827852877136512,-29.155013141542643,0.8267307742759862,-30.193566608135765,0.9452201360617334,-35.2189158687373,0.8886553366059506,-28.777909299271936,0.9288421247639571,-30.626906171473234,0.7924258979264742
3.0,0.0,1.0,-18.6725594916173,0.9999999999999998,-22.99965306113169,1.0,-14.305622731855227,0.9022545166199242,-25.62748142840882,0.8517367521376791,-25.986725163891048,0.9558510466121715,-30.679330023999643,0.9079722413478702,-24.88106855019753,0.9420048902624436,-28.008158830475814,0.8226952582191878
66.0,0.0,1.0,-23.775939232238066,0.9999999999999999,-28.010410036970423,0.9999999999999998,-16.472724022428658,0.8809116160518383,-29.968637966653688,0.8332379034987138,-31.0140925027091,0.95056999378912,-36.0104822841231,0.9024471807983862,-30.038485760429385,0.9339086148446207,-32.797550888558,0.788663680644493
31.0,0.0,1.0,-18.274806422998445,0.9999999999999998,-22.82393455705684,0.9999999999999999,-14.370899911353591,0.9097548154266004,-25.995907434695383,0.8693830134622972,-25.803539104832858,0.9582444549299897,-30.28593347198767,0.90480339924503,-24.48128807259621,0.9423114004241797,-27.655873748987002,0.8316310402463016
78.0,0.0,1.0,-21.327056356320245,0.9999999999999999,-25.31837947018889,0.9999999999999998,-15.379621197564557,0.8999640696781891,-27.2175692851437,0.8594577245199911,-28.312405824440585,0.9536328970945781,-33.494362286736646,0.897639334343457,-27.56801955958182,0.9371255313608005,-30.563467332893417,0.8180100316911685
130.0,0.0,1.0,-19.679395257305003,0.9999999999999998,-23.89766611958459,1.0,-14.815601104038906,0.8983437701368038,-26.503447695538824,0.8572589056623476,-26.88311120177949,0.9563714984724252,-31.618906835034704,0.9065564997532509,-25.906493057453797,0.9392039074846144,-29.265847303798697,0.809155887888964
13.0,0.0,1.0,-22.978877863817793,0.9999999999999998,-27.04935869229974,0.9999999999999996,-16.118175839508982,0.8843480579143448,-28.958984683326207,0.8349328500751302,-30.04938277618639,0.9517281057052688,-35.06469605698148,0.905348273271867,-29.22546691326031,0.9362848729801101,-32.27637941449312,0.7953969019459525
190.0,0.0,1.0,-20.34458009362364,0.9999999999999999,-24.95750857158719,1.0,-15.057147160848652,0.9035879541858389,-27.604567683161218,0.862969928612377,-27.935974982819896,0.9586102908125416,-32.654581965397526,0.9105325921880735,-26.54853680027369,0.9426934100180733,-28.862952941394834,0.8224577336350943
110.0,0.0,1.0,-22.860362921750653,0.9999999999999999,-27.300566891693173,1.0,-15.993519685342347,0.8891128572277087,-29.327262608821915,0.8484271374157023,-30.297255446179904,0.9527864796519584,-35.337948251318274,0.900913861015253,-29.119107920489306,0.9344736060688041,-31.28943488140514,0.7966418620935007
79.0,0.0,1.0,-20.030785131125345,0.9999999999999997,-24.34184208844157,1.0,-14.657855160260631,0.903647577999718,-26.396894930941283,0.8640953894562954,-27.327309555897862,0.9563643340176107,-32.41290278521101,0.9036188265167189,-26.256783676890944,0.9393690787645073,-28.57192101875866,0.8188131044530106
93.0,0.0,1.0,-23.957109266465707,0.9999999999999999,-28.20450468000534,0.9999999999999998,-16.579696925811845,0.8796352884016408,-30.188317024273093,0.8303198968239693,-31.21122954729352,0.9496090264628628,-36.18784090422282,0.9009266174598842,-30.224089550985973,0.9332505284713905,-33.03341378371602,0.7881964372161608
145.0,0.0,1.0,-19.133749425231766,1.0,-23.90944992520891,0.9999999999999998,-14.69618229432869,0.8951754324026893,-27.112960531162745,0.8440913449943642,-26.905014688469112,0.9531435932035911,-31.278324639095345,0.9025758527613418,-25.37276952158409,0.9374162386926631,-28.319260915373572,0.808527904155081
72.0,0.0,1.0,-20.943854818524976,0.9999999999999999,-25.169181869644866,0.9999999999999998,-15.411723093235038,0.8881092566828634,-27.705013903523064,0.841446528423202,-28.171530476045657,0.9509919185520329,-32.917097664069495,0.8981422369475113,-27.208874556808585,0.9335414101438354,-30.72862085077535,0.7950133667215525
89.0,0.0,1.0,-21.67068478458305,0.9999999999999998,-25.937594896131902,0.9999999999999998,-15.753661856677516,0.8905813243481113,-28.459595996004282,0.8457252379511169,-28.92882037521927,0.9545250318436853,-33.65576874055626,0.9072542248315476,-27.90408184456386,0.9382585217426671,-31.14765401259838,0.8022411455726957
188.0,0.0,1.0,-22.201009719806816,0.9999999999999998,-26.135919385000147,1.0,-15.644918221047401,0.8954144979561864,-27.76819854895357,0.8514621544972504,-29.12391463531338,0.955556002016658,-34.35060175388049,0.9089571315751371,-28.419105290640797,0.9405582830703731,-31.185521786348488,0.8126613485299898
6.0,0.0,1.0,-17.919823280970046,1.0,-22.38539864293193,0.9999999999999997,-14.120735058563557,0.9110907816354075,-25.442087078402842,0.8691712256041633,-25.355894110393006,0.9611802842380694,-29.855473832066757,0.9146950111584867,-24.09793069846841,0.9466222581981073,-27.21490399518003,0.8343533511342596
60.0,0.0,1.0,-22.93983302698779,0.9999999999999997,-27.42938720473807,0.9999999999999999,-15.977430476835181,0.8831312076759089,-29.40704489365709,0.8318288734956685,-30.436522184375963,0.9494796379131735,-35.43039503831376,0.899657238560389,-29.20743281293026,0.9331586523868374,-31.383217518318283,0.7918066220503786
189.0,0.0,1.0,-18.911014045524478,1.0,-23.4345973088738,0.9999999999999999,-14.655708198679148,0.9090034397751822,-26.541369535879703,0.8665670630338469,-26.40864864431206,0.9600320977524395,-30.880841520457206,0.9123554659311164,-25.095520033943405,0.9456466710939665,-28.185092039426433,0.8340413951330249
176.0,0.0,1.0,-24.619955011575644,0.9999999999999999,-28.929731418776917,0.9999999999999998,-16.69702346110479,0.8793569039463665,-30.542002952954256,0.8280878903296619,-31.94375896876501,0.9473103352084608,-37.13776131237482,0.8953745246264226,-30.900479128687497,0.9312460322342231,-33.12334346283133,0.7903141091581912
158.0,0.0,1.0,-19.66952528579568,0.9999999999999999,-24.030316824894722,0.9999999999999999,-14.893433652936613,0.9063233680743691,-26.822398094135323,0.8654475492772258,-27.001932978143973,0.9608181191545638,-31.6249505658872,0.916078030236522,-25.850870424562913,0.9461283514302128,-28.89755039346936,0.8284395101557767
